회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
본아한의원,재택부업 - 일상글 포스팅 아르바이트,상시모집,00명,여자,18세(2005년생) ~ 45세(1978년생),무관,유사업무 경험,"['건별', '1,500원', '협의가능']",1개월~3개월,요일협의,시간협의,바이럴·SNS마케팅,알바,없음,"마케팅, 블로그, 재택","인원미정,친구",청소년가능,협의가능,건별,"1,500원",협의가능,없음,없음
주식회사 엔지프로젝트,"[간단한 사무보조] 초보/주말 가능, 건당 12만원 블로그 재택근무",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1개월~3개월,요일협의,시간협의,"바이럴·SNS마케팅,마케팅·광고·홍보,사무보조 초보가능","알바, 계약직","연차, 월차, 정기휴가, 인센티브제, 정기보너스, 장기근속자 포상, 우수사원 표창/포상, 중식제공, 주차비지원, 주차가능",없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",없음,없음,"(하루 10분, 협의가능)"
"엠디비코리아, 블로그 서포터즈 1위",블로그서포터즈/건당10만/당일지급/단기/주말/학생/초보,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 엑셀가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '건당 최소 3만원부터 협의가능/당일지급']",1개월~3개월,월~일,10:00~18:30,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅 초보가능","알바, 계약직","장기근속수당, 정기보너스, 인센티브제, 장기근속자 포상, 우수사원 표창/포상",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,건당 최소 3만원부터 협의가능/당일지급",건별,"100,000원",협의가능,없음,(휴게시간 60분)
클레오노모스(블로그),[블로그포스팅알바] 당일지급/건당20만원/재택근무/부업알바/단기알바/투잡,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '협의가능 당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,장년가능,협의가능 당일지급,건별,"200,000원",협의가능,없음,없음
NOISYMARKETING(블로그),블로그꿀알바/당일지급/건당20만원/재택근무/부업알바/단기알바/투잡꿀알바,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,없음,당일지급,건별,"200,000원",협의가능,없음,없음
노이지마케팅(블로그),블로그포스팅알바/건당20만원/당일지급/재택근무/부업알바/투잡알바/단기알바,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,없음,당일지급,건별,"200,000원",협의가능,없음,없음
위런에듀,[재택근무] 영어 단어 추가 컨텐츠 작성,2022.12.04,8명,무관,무관,무관,없음,"['건별', '600,000원', '3.3% 세금 제외 후 지급, 단어 수에 따라 지급 금액이 다릅니다.']",1주일~1개월,요일협의,시간협의,"외국어·어학원,번역·통역,교육·강사 기타",위촉직(프리랜서),없음,없음,없음,없음,"3.3% 세금 제외 후 지급, 단어 수에 따라 지급 금액이 다릅니다.",건별,"600,000원",없음,없음,없음
"엠디비코리아, 블로그 서포터즈 1위",블로그서포터즈/건당10만/당일지급/단기/주말/학생/초보,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 엑셀가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '건당 최소 3만원부터 협의가능/당일지급']",1개월~3개월,월~일,10:00~18:30,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅 초보가능","알바, 계약직","장기근속수당, 정기보너스, 인센티브제, 장기근속자 포상, 우수사원 표창/포상",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,건당 최소 3만원부터 협의가능/당일지급",건별,"100,000원",협의가능,없음,(휴게시간 60분)
#블로그기자단#박데이터랩,[블로그기자단] 건당10만/당일지급/꿀알바/단기/장기/초보/학생/주부,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의가능']",1개월~3개월,월~일,09:30~17:30,"바이럴·SNS마케팅,사무보조,마케팅·광고·홍보 초보가능","알바, 계약직","야간근로수당, 휴일근로수당, 장기근속수당, 우수사원 표창/포상, 인센티브제, 정기보너스",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의가능",건별,"100,000원",협의가능,없음,(휴게시간 60분)
㈜금성출판사 푸르넷공부방,"초,중등 공부방 교사 구함(영어지도만도 가능자)",상시모집,3명,무관,30세(1993년생) ~ 52세(1971년생),대학(4년제) 졸업 이상,유사업무 경험,"['건별', '900,000원']",1년이상,월~금,13:00~18:00,"방문·학습지,입시·보습학원 초보가능",위촉직(프리랜서),인센티브제,없음,없음,장년가능,없음,건별,"900,000원",없음,없음,없음
